problem	1844	8831
results	1838	8368
parameters	1799	5657
research	1738	5216
systems	1720	6082
university	1720	5594
approach	1717	5887
number	1696	9641
computation	1687	5870
shown	1672	6138
analysis	1641	5229
similar	1641	3718
system	1621	10096
science	1618	5745
values	1591	5365
based	1572	6283
computer	1553	5910
information	1550	8885
paper	1533	3772
small	1516	4461
high	1501	4386
shows	1446	4423
rate	1444	5393
case	1427	5642
processing	1427	4552
order	1415	5301
work	1411	3601
present	1406	3815
space	1402	6805
linear	1399	5950
large	1370	4138
point	1368	4751
output	1328	9185
field	1322	3879
department	1305	4441
experiments	1281	4179
note	1277	3153
show	1277	3822
general	1273	3015
models	1259	6165
pattern	1255	5039
simple	1247	3558
structure	1247	4499
form	1245	3887
patterns	1245	5197
size	1242	4244
result	1239	2994
theory	1238	4266
find	1236	3544
constant	1224	2924
representation	1218	4148
process	1214	3292
distribution	1199	5312
weights	1197	5891
fixed	1180	3617
outputs	1173	3782
vector	1164	5458
average	1159	3458
important	1154	2391
long	1151	2553
obtained	1151	2954
performance	1147	5972
range	1142	2977
defined	1137	3136
institute	1135	3750
independent	1134	2940
random	1133	3741
methods	1124	4383
press	1123	2435
real	1115	3001
presented	1108	2943
inputs	1106	3964
found	1097	2799
section	1096	3116
points	1089	3895
local	1088	4650
line	1087	3287
optimal	1086	4161
method	1083	4732
test	1071	4013
dimensional	1065	2899
difference	1061	2163
functions	1056	4955
problems	1050	3106
scale	1047	2402
cases	1046	2741
applied	1043	2206
terms	1022	2402
total	1019	2177
ieee	1012	2261
probability	1010	5563
standard	1008	3029
parameter	1005	2939
components	1002	3084
related	1001	3133
clear	1000	2349
experimental	999	2618
temporal	992	3618
solution	989	2804
complex	987	2232
behavior	982	2367
neurons	981	6426
unit	980	4991
expected	977	2048
current	976	3299
multiple	976	2532
part	975	2355
measure	964	2328
make	959	1998
individual	956	2701
made	952	2184
level	950	3215
interesting	947	2024
properties	944	2241
sense	942	2033
weight	942	4807
give	941	2209
version	936	2497
finally	935	2186
assume	934	2003
times	934	2647
fig	930	4096
engineering	929	4206
rules	927	3408
question	923	2287
hidden	922	6316
significant	922	2602
positive	921	2185
left	920	2342
step	919	3318
algorithms	911	3709
chosen	910	1983
generated	909	1947
equation	907	3061
artificial	906	1857
task	905	3455
natural	904	2342
low	900	2466
examples	895	3482
parallel	887	2344
randomly	887	1818
center	886	5090
feature	884	3675
choice	880	1898
computational	880	2188
sequences	878	3196
initial	873	2394
amount	870	2349
architecture	868	2939
good	868	1781
layer	867	5554
train	867	1787
apply	866	2344
approximation	864	2988
length	863	2364
sensory	859	2719
trained	859	3089
statistical	858	2930
relative	857	1923
action	855	3826
required	850	1883
compute	848	1833
lower	848	1855
understand	848	2377
response	844	3843
variance	841	2282
elements	839	1852
net	835	3430
vectors	830	2999
distributed	829	1755
estimate	828	2826
cell	827	4103
respect	827	1739
features	826	4307
higher	825	2159
neuron	825	5055
obtain	825	1682
term	824	2666
sample	820	2624
change	817	1900
sets	817	2142
matrix	813	3921
effect	812	2019
machine	811	2288
cells	810	4302
knowledge	807	2725
compared	803	1847
gaussian	803	3693
larger	801	1713
basic	797	2410
provided	794	1959
classification	784	3433
maximum	781	2108
signal	781	3539
observed	779	2078
proposed	779	1637
conditions	777	1777
procedure	775	2176
performed	774	1675
noise	772	4822
learn	769	2132
computed	768	1712
equivalent	765	1590
control	763	4198
signals	762	2401
means	756	1536
motor	755	3065
recognition	755	4729
hand	754	3286
school	753	3976
gradient	752	2929
distributions	750	1940
desired	747	1674
log	747	3181
mixture	743	3239
dependent	741	1913
variable	738	1910
differences	736	2151
rates	735	1803
sequence	733	3131
class	730	3643
basis	727	2272
coding	727	3111
steveninck	725	3898
variables	725	2661
rule	724	2759
require	722	2048
actual	719	1652
correct	716	1655
distance	710	2490
bound	709	2273
exhibit	705	1783
functional	702	1989
study	701	1575
details	700	1782
continuous	698	2085
position	698	2818
curve	697	1631
type	697	1642
horizontal	693	1393
identical	691	1629
series	689	1520
techniques	688	1733
arbitrary	685	1795
stimuli	682	2884
jerusalem	678	3013
support	678	1486
back	676	1992
measured	674	1571
san	674	1476
noisy	672	1585
generalization	669	2858
technique	669	1374
proc	667	1431
scales	667	1439
component	666	2092
